name,value,year,lastValue,rank,colour,tcolour
RKC Waalwijk,227,2004,229,10,#0000FF,#FFFF00
PSV,400,2005,394,1,#E83519,#FFFFFF
Ajax,371,2005,359,2,#E83519,#FFFFFF
Feyenoord,338,2005,340,3,#E83519,#000000
sc Heerenveen,282,2005,271,4,#0000FF,#FFFFFF
AZ,258,2005,244,5,#E83519,#FFFFFF
FC Utrecht,249,2005,255,6,#E83519,#FFFFFF
Roda JC Kerkrade,242,2005,255,7,#FFFF00,#000000
RKC Waalwijk,240,2005,227,8,#0000FF,#FFFF00
NAC Breda,231,2005,227,9,#FFFF00,#000000
FC Twente,226,2005,217,10,#E83519,#FFFFFF
PSV,416,2006,400,1,#E83519,#FFFFFF
Ajax,379,2006,371,2,#E83519,#FFFFFF
Feyenoord,349,2006,338,3,#E83519,#000000
AZ,302,2006,258,4,#E83519,#FFFFFF
sc Heerenveen,276,2006,282,5,#0000FF,#FFFFFF
FC Twente,249,2006,226,6,#E83519,#FFFFFF
Roda JC Kerkrade,248,2006,242,7,#FFFF00,#000000
FC Utrecht,237,2006,249,8,#E83519,#FFFFFF
N.E.C.,215,2006,207,9,#008000,#FF0000
Vitesse,215,2006,223,10,#FFFF00,#000000
PSV,398,2007,416,1,#E83519,#FFFFFF
Ajax,368,2007,379,2,#E83519,#FFFFFF
Feyenoord,337,2007,349,3,#E83519,#000000
AZ,316,2007,302,4,#E83519,#FFFFFF
sc Heerenveen,280,2007,276,5,#0000FF,#FFFFFF
FC Twente,266,2007,249,6,#E83519,#FFFFFF
Roda JC Kerkrade,260,2007,248,7,#FFFF00,#000000
FC Utrecht,244,2007,237,8,#E83519,#FFFFFF
FC Groningen,236,2007,213,9,#008000,#FFFFFF
NAC Breda,208,2007,212,10,#FFFF00,#000000
PSV,385,2008,398,1,#E83519,#FFFFFF
Ajax,362,2008,368,2,#E83519,#FFFFFF
AZ,319,2008,316,3,#E83519,#FFFFFF
Feyenoord,305,2008,337,4,#E83519,#000000
FC Twente,286,2008,266,5,#E83519,#FFFFFF
sc Heerenveen,286,2008,280,6,#0000FF,#FFFFFF
Roda JC Kerkrade,244,2008,260,7,#FFFF00,#000000
FC Groningen,241,2008,236,8,#008000,#FFFFFF
FC Utrecht,239,2008,244,9,#E83519,#FFFFFF
NAC Breda,231,2008,208,10,#FFFF00,#000000
PSV,386,2009,385,1,#E83519,#FFFFFF
Ajax,350,2009,362,2,#E83519,#FFFFFF
FC Twente,327,2009,286,3,#E83519,#FFFFFF
AZ,319,2009,319,4,#E83519,#FFFFFF
Feyenoord,297,2009,305,5,#E83519,#000000
sc Heerenveen,274,2009,286,6,#0000FF,#FFFFFF
FC Groningen,252,2009,241,7,#008000,#FFFFFF
FC Utrecht,239,2009,239,8,#E83519,#FFFFFF
Roda JC Kerkrade,219,2009,244,9,#FFFF00,#000000
N.E.C.,215,2009,218,10,#008000,#FF0000
PSV,373,2010,386,1,#E83519,#FFFFFF
Ajax,362,2010,350,2,#E83519,#FFFFFF
FC Twente,346,2010,327,3,#E83519,#FFFFFF
AZ,325,2010,319,4,#E83519,#FFFFFF
FC Groningen,271,2010,252,5,#008000,#FFFFFF
Feyenoord,271,2010,297,6,#E83519,#000000
sc Heerenveen,263,2010,274,7,#0000FF,#FFFFFF
FC Utrecht,243,2010,239,8,#E83519,#FFFFFF
NAC Breda,241,2010,215,9,#FFFF00,#000000
Roda JC Kerkrade,238,2010,219,10,#FFFF00,#000000
Ajax,361,2011,362,1,#E83519,#FFFFFF
FC Twente,349,2011,346,2,#E83519,#FFFFFF
PSV,343,2011,373,3,#E83519,#FFFFFF
AZ,313,2011,325,4,#E83519,#FFFFFF
FC Groningen,260,2011,271,5,#008000,#FFFFFF
Feyenoord,257,2011,271,6,#E83519,#000000
sc Heerenveen,248,2011,263,7,#0000FF,#FFFFFF
NAC Breda,233,2011,241,8,#FFFF00,#000000
Roda JC Kerkrade,231,2011,238,9,#FFFF00,#000000
FC Utrecht,229,2011,243,10,#E83519,#FFFFFF
Ajax,375,2012,361,1,#E83519,#FFFFFF
PSV,357,2012,343,2,#E83519,#FFFFFF
FC Twente,356,2012,349,3,#E83519,#FFFFFF
AZ,302,2012,313,4,#E83519,#FFFFFF
Feyenoord,283,2012,257,5,#E83519,#000000
sc Heerenveen,250,2012,248,6,#0000FF,#FFFFFF
FC Groningen,237,2012,260,7,#008000,#FFFFFF
FC Utrecht,235,2012,229,8,#E83519,#FFFFFF
N.E.C.,223,2012,202,9,#008000,#FF0000
NAC Breda,222,2012,233,10,#FFFF00,#000000
Ajax,377,2013,375,1,#E83519,#FFFFFF
FC Twente,348,2013,356,2,#E83519,#FFFFFF
PSV,346,2013,357,3,#E83519,#FFFFFF
Feyenoord,305,2013,283,4,#E83519,#000000
AZ,288,2013,302,5,#E83519,#FFFFFF
FC Utrecht,249,2013,235,6,#E83519,#FFFFFF
Vitesse,249,2013,216,7,#FFFF00,#000000
sc Heerenveen,244,2013,250,8,#0000FF,#FFFFFF
FC Groningen,243,2013,237,9,#008000,#FFFFFF
Heracles Almelo,217,2013,216,10,#000000,#FFFFFF
Ajax,382,2014,377,1,#E83519,#FFFFFF
PSV,342,2014,346,2,#E83519,#FFFFFF
FC Twente,323,2014,348,3,#E83519,#FFFFFF
Feyenoord,307,2014,305,4,#E83519,#000000
AZ,272,2014,288,5,#E83519,#FFFFFF
sc Heerenveen,246,2014,244,6,#0000FF,#FFFFFF
FC Groningen,244,2014,243,7,#008000,#FFFFFF
Vitesse,243,2014,249,8,#FFFF00,#000000
FC Utrecht,240,2014,249,9,#E83519,#FFFFFF
Heracles Almelo,204,2014,217,10,#000000,#FFFFFF
Ajax,373,2015,382,1,#E83519,#FFFFFF
PSV,351,2015,342,2,#E83519,#FFFFFF
Feyenoord,325,2015,307,3,#E83519,#000000
FC Twente,281,2015,323,4,#E83519,#FFFFFF
Vitesse,275,2015,243,5,#FFFF00,#000000
AZ,259,2015,272,6,#E83519,#FFFFFF
sc Heerenveen,244,2015,246,7,#0000FF,#FFFFFF
FC Utrecht,235,2015,240,8,#E83519,#FFFFFF
FC Groningen,223,2015,244,9,#008000,#FFFFFF
Heracles Almelo,212,2015,204,10,#000000,#FFFFFF
Ajax,380,2016,373,1,#E83519,#FFFFFF
PSV,366,2016,351,2,#E83519,#FFFFFF
Feyenoord,339,2016,325,3,#E83519,#000000
Vitesse,270,2016,275,4,#FFFF00,#000000
FC Twente,268,2016,281,5,#E83519,#FFFFFF
AZ,262,2016,259,6,#E83519,#FFFFFF
sc Heerenveen,256,2016,244,7,#0000FF,#FFFFFF
FC Utrecht,249,2016,235,8,#E83519,#FFFFFF
FC Groningen,221,2016,223,9,#008000,#FFFFFF
Heracles Almelo,204,2016,212,10,#000000,#FFFFFF
Ajax,385,2017,380,1,#E83519,#FFFFFF
PSV,382,2017,366,2,#E83519,#FFFFFF
Feyenoord,335,2017,339,3,#E83519,#000000
AZ,276,2017,262,4,#E83519,#FFFFFF
Vitesse,263,2017,270,5,#FFFF00,#000000
FC Utrecht,258,2017,249,6,#E83519,#FFFFFF
sc Heerenveen,239,2017,256,7,#0000FF,#FFFFFF
FC Twente,237,2017,268,8,#E83519,#FFFFFF
FC Groningen,233,2017,221,9,#008000,#FFFFFF
PEC Zwolle,233,2017,194,10,#0000FF,#FFFFFF
PSV,412,2018,382,1,#E83519,#FFFFFF
Ajax,393,2018,385,2,#E83519,#FFFFFF
Feyenoord,340,2018,335,3,#E83519,#000000
AZ,289,2018,276,4,#E83519,#FFFFFF
FC Utrecht,255,2018,258,5,#E83519,#FFFFFF
Vitesse,248,2018,263,6,#FFFF00,#000000
sc Heerenveen,229,2018,239,7,#0000FF,#FFFFFF
FC Groningen,216,2018,233,8,#008000,#FFFFFF
Heracles Almelo,214,2018,208,9,#000000,#FFFFFF
PEC Zwolle,213,2018,233,10,#0000FF,#FFFFFF
PSV,355,2019,412,1,#E83519,#FFFFFF
Ajax,336,2019,393,2,#E83519,#FFFFFF
Feyenoord,286,2019,340,3,#E83519,#000000
AZ,260,2019,289,4,#E83519,#FFFFFF
FC Utrecht,227,2019,255,5,#E83519,#FFFFFF
Vitesse,222,2019,248,6,#FFFF00,#000000
Heracles Almelo,196,2019,214,7,#000000,#FFFFFF
sc Heerenveen,192,2019,229,8,#0000FF,#FFFFFF
FC Groningen,188,2019,216,9,#008000,#FFFFFF
PEC Zwolle,180,2019,213,10,#0000FF,#FFFFFF
